Volatility,Condition,Beta_Type,Mean,Median,Std,CV,IQR,Outlier_Pct,Q25,Q75
50,Adaptive,adaptive,-778.3071249395766,398.7956499909335,1343.577256976955,1.7262815846395634,2652.653359034036,0.0,-2107.5879942993583,545.0653647346776
50,β=0.0,fixed,-1058.139826517068,-1515.2021026677553,1168.1278900355676,1.1039447346770153,2361.829797457068,0.0,-2138.4795130479242,223.3502844091437
50,β=0.2,fixed,-858.0495130109873,-553.4766307408702,1399.7106643465002,1.6312702741765637,2782.7935607973814,0.0,-2245.899619025707,536.893941771674
50,β=0.4,fixed,-790.464030384598,460.1602217278565,1373.230196550656,1.737245647828548,2734.196637877047,0.0,-2189.205650959427,544.99098691762
50,β=0.6,fixed,-686.0810615043113,464.1914089851107,1343.4992358744616,1.9582223023744247,2674.1687776161857,0.0,-2126.265607630111,547.9031699860747
50,β=0.8,fixed,-733.2437991550233,435.62298667652726,1321.8268875003491,1.8027113069672025,2634.5404496658894,0.0,-2096.076701693789,538.4637479721007
50,β=1.0,fixed,-1200.973570711106,-1838.3441501954308,1107.4308351251934,0.9221109124570284,2428.60607638644,0.0,-2095.194772960514,333.411303425926
100,Adaptive,adaptive,-867.4175382203044,-1725.9427456734875,1347.284987209147,1.5532139112305647,2696.2594512574424,0.0,-2158.1493676894406,538.1100835680015
100,β=0.0,fixed,-1242.6214440840786,-1792.3133622490345,1117.2081265466697,0.8990735930604759,2120.534590897312,0.0,-2177.205318835138,-56.67072793782587
100,β=0.2,fixed,-888.8280535979916,-1512.2579538112932,1378.1548946488167,1.5505303743170813,2753.9641751615172,0.0,-2225.034689709763,528.9294854517543
100,β=0.4,fixed,-941.9235684720022,-1736.0541343724456,1358.832356553753,1.4426142439115992,2723.8817366338208,0.0,-2191.667948659973,532.2137879738478
100,β=0.6,fixed,-831.6391219072736,-1573.768590064747,1301.0609836066867,1.5644537989300518,2594.925476680701,0.0,-2068.496796089621,526.4286805910801
100,β=0.8,fixed,-798.7864445863586,-1171.7478918856755,1328.4352911678436,1.6630668937500022,2656.3238825164062,0.0,-2131.8837164540837,524.4401660623228
100,β=1.0,fixed,-1092.0031467544522,-1715.0216562934284,1154.1542729958785,1.0569147867624245,2455.334698366125,0.0,-2071.8156885628478,383.5190098032774
200,Adaptive,adaptive,-515.2233353162559,444.5991764431779,1290.4475583043793,2.504637251168511,2528.0015810809564,0.0,-1970.8667205252268,557.1348605557298
200,β=0.0,fixed,-945.6305454373348,-966.1525525738241,1153.33486954137,1.219646377865233,2359.944143321077,0.0,-2051.5961409691486,308.3480023519283
200,β=0.2,fixed,-959.6195287383124,-1705.754455850762,1392.2873627344197,1.4508743528437462,2726.808939470433,0.0,-2215.067132353373,511.7418071170598
200,β=0.4,fixed,-807.4240248703318,111.05898006178191,1368.9220855967042,1.695419065362275,2722.9211731560645,0.0,-2199.0930868172322,523.8280863388323
200,β=0.6,fixed,-748.0881361486927,344.8077064431729,1320.7608514421977,1.7655150344205948,2581.232527499704,0.0,-2065.605943051378,515.626584448326
200,β=0.8,fixed,-652.594959359751,405.4942039578443,1305.8488071047077,2.00100964369362,2545.4450161065106,0.0,-2033.324562635914,512.1204534705967
200,β=1.0,fixed,-1107.6873720865085,-1619.1163458978367,1128.1450697957841,1.0184688371690473,2343.3190567568563,0.0,-1993.8169061874844,349.50215056937174
