condition_a,condition_b,t_statistic,p_value,cohens_d,mean_difference,ci_95_lower,ci_95_upper,significant
Adaptive_β_vol50,Fixed_β=0.0_vol50,2.2228125187820043,0.026789607557034977,0.22228125187820044,279.83270157749143,32.337716276060036,527.3276868789228,True
Adaptive_β_vol50,Fixed_β=0.2_vol50,0.581241937719784,0.561406420606583,0.05812419377197841,79.74238807141069,-189.97134996257586,349.45612610539723,False
Adaptive_β_vol50,Fixed_β=0.4_vol50,0.08948872231230617,0.9287385304563318,0.008948872231230616,12.15690544502138,-254.91333899914974,279.2271498891925,False
Adaptive_β_vol50,Fixed_β=0.6_vol50,-0.686441667304545,0.4928343500874567,-0.06864416673045451,-92.22606343526536,-356.35793379951184,171.90580692898112,False
Adaptive_β_vol50,Fixed_β=0.8_vol50,-0.33812377440692226,0.7354481982056803,-0.03381237744069223,-45.063325784553285,-307.0735898494609,216.94693828035435,False
Adaptive_β_vol50,Fixed_β=1.0_vol50,3.433022207260414,0.0006595302550750691,0.34330222072604144,422.6664457715294,180.62377767881858,664.7091138642403,True
Adaptive_β_vol100,Fixed_β=0.0_vol100,3.0316942310655604,0.0025909046854833166,0.30316942310655604,375.20390586377414,131.89795795506447,618.5098537724838,True
Adaptive_β_vol100,Fixed_β=0.2_vol100,0.15710595753852782,0.8752410097308927,0.015710595753852783,21.410515377687148,-246.50954964477324,289.33058040014754,False
Adaptive_β_vol100,Fixed_β=0.4_vol100,0.550643911382452,0.5821867332750675,0.0550643911382452,74.50603025169778,-191.49992248011904,340.5119829835146,False
Adaptive_β_vol100,Fixed_β=0.6_vol100,-0.27015328208152434,0.7871823578600783,-0.02701532820815244,-35.77841631303079,-296.14283747672187,224.5860048506603,False
Adaptive_β_vol100,Fixed_β=0.8_vol100,-0.5129788135029218,0.6082507426437196,-0.05129788135029218,-68.63109363394585,-331.65320714853976,194.39101988064806,False
Adaptive_β_vol100,Fixed_β=1.0_vol100,1.7903229308691049,0.07416197230973763,0.1790322930869105,224.5856085341478,-22.03043238250109,471.2016494507967,False
Adaptive_β_vol200,Fixed_β=0.0_vol200,3.516936258889005,0.0004868729606903301,0.35169362588890046,430.40721012107895,189.8126446714217,671.0017755707362,True
Adaptive_β_vol200,Fixed_β=0.2_vol200,3.310624069695141,0.0010158293400652648,0.3310624069695141,444.3961934220565,180.5011492037674,708.2912376403456,True
Adaptive_β_vol200,Fixed_β=0.4_vol200,2.1965622903292408,0.028627763911721112,0.2196562290329241,292.2006895540759,30.678535040860538,553.7228440672912,True
Adaptive_β_vol200,Fixed_β=0.6_vol200,1.7834586493980586,0.07527357345690236,0.17834586493980584,232.8648008324368,-23.82675065112994,489.55635231600354,False
Adaptive_β_vol200,Fixed_β=0.8_vol200,1.0581935789178234,0.2906090181769072,0.10581935789178232,137.3716240434951,-117.84131166212319,392.5845597491134,False
Adaptive_β_vol200,Fixed_β=1.0_vol200,4.888252078972455,1.478160930844553e-06,0.48882520789724554,592.4640367702526,354.18865601998954,830.7394175205156,True
