Volatility,Fixed_Beta,Cohens_d,Interpretation,p_value,Significant,Advantage,Mean_Diff
50,0.0,0.22228125187820044,small,0.026789607557034977,True,ADAPTIVE,279.83270157749143
50,0.2,0.05812419377197841,negligible,0.561406420606583,False,ADAPTIVE,79.74238807141069
50,0.4,0.008948872231230616,negligible,0.9287385304563318,False,ADAPTIVE,12.15690544502138
50,0.6,-0.06864416673045451,negligible,0.4928343500874567,False,FIXED,-92.22606343526536
50,0.8,-0.03381237744069223,negligible,0.7354481982056803,False,FIXED,-45.063325784553285
50,1.0,0.34330222072604133,small,0.0006595302550750691,True,ADAPTIVE,422.6664457715294
100,0.0,0.303169423106556,small,0.0025909046854833166,True,ADAPTIVE,375.20390586377414
100,0.2,0.015710595753852783,negligible,0.8752410097308927,False,ADAPTIVE,21.410515377687148
100,0.4,0.0550643911382452,negligible,0.5821867332750675,False,ADAPTIVE,74.50603025169778
100,0.6,-0.02701532820815244,negligible,0.7871823578600783,False,FIXED,-35.77841631303079
100,0.8,-0.05129788135029218,negligible,0.6082507426437196,False,FIXED,-68.63109363394585
100,1.0,0.1790322930869105,negligible,0.07416197230973763,False,ADAPTIVE,224.5856085341478
200,0.0,0.35169362588890046,small,0.0004868729606903301,True,ADAPTIVE,430.40721012107895
200,0.2,0.3310624069695141,small,0.0010158293400652648,True,ADAPTIVE,444.3961934220565
200,0.4,0.21965622903292406,small,0.028627763911721112,True,ADAPTIVE,292.2006895540759
200,0.6,0.1783458649398058,negligible,0.07527357345690236,False,ADAPTIVE,232.8648008324368
200,0.8,0.10581935789178235,negligible,0.2906090181769072,False,ADAPTIVE,137.3716240434951
200,1.0,0.48882520789724554,small,1.478160930844553e-06,True,ADAPTIVE,592.4640367702526
