Volatility,Total_Comparisons,Wins,Win_Rate_Pct,Significant_Wins,Sig_Win_Rate_Pct
50,6,4,66.66666666666666,2,33.33333333333333
100,6,4,66.66666666666666,1,16.666666666666664
200,6,6,100.0,4,66.66666666666666
