condition_a,condition_b,t_statistic,p_value,cohens_d,mean_difference,ci_95_lower,ci_95_upper,significant
Adaptive_β_vol200,Fixed_β=0.0_vol200,3.7260351566787997,0.00019558677737063768,0.074520703133576,396.0348794622332,187.68792407493058,604.3818348495358,True
Adaptive_β_vol200,Fixed_β=0.2_vol200,0.9410195971125864,0.3467175516941883,0.018820391942251727,104.95902662027629,-113.6770355107131,323.5950887512657,False
Adaptive_β_vol200,Fixed_β=0.4_vol200,2.036875876453965,0.041688769880838805,0.0407375175290793,225.7552913364666,8.498158576977659,443.01242409595557,True
Adaptive_β_vol200,Fixed_β=0.6_vol200,1.7423301661285167,0.0814814361300471,0.034846603322570335,190.61189142434068,-23.835222113125383,405.05900496180675,False
Adaptive_β_vol200,Fixed_β=0.8_vol200,0.23959060332865062,0.8106525615091265,0.004791812066573013,25.808975586655833,-185.34616350253313,236.9641146758448,False
Adaptive_β_vol200,Fixed_β=1.0_vol200,36.79091845718857,0.0,0.7358183691437713,3219.164476165402,3047.6490420580517,3390.6799102727523,True
Adaptive_β_vol1000,Fixed_β=0.0_vol1000,3.3647070865354323,0.0007691315482747374,0.06729414173070865,355.73599794528764,148.49235289756035,562.979642993015,True
Adaptive_β_vol1000,Fixed_β=0.2_vol1000,0.5876793880737123,0.5567607854373748,0.011753587761474246,64.99456880197977,-151.79444919376996,281.7835867977295,False
Adaptive_β_vol1000,Fixed_β=0.4_vol1000,1.9387854983578066,0.05255556772017389,0.03877570996715613,213.11922928601416,-2.3541110916555965,428.5925696636839,False
Adaptive_β_vol1000,Fixed_β=0.6_vol1000,1.7104559677467446,0.08721261269475589,0.03420911935493489,186.10878210887768,-27.173922127475976,399.3914863452313,False
Adaptive_β_vol1000,Fixed_β=0.8_vol1000,0.8736647074004791,0.38232185971592836,0.01747329414800958,93.40623781931754,-116.16503828884754,302.9775139274826,False
Adaptive_β_vol1000,Fixed_β=1.0_vol1000,36.01534709460836,0.0,0.7203069418921673,3146.7216812620695,2975.4555853291226,3317.9877771950164,True
Adaptive_β_vol500,Fixed_β=0.0_vol500,4.715444041542797,2.444468329310112e-06,0.09430888083085595,500.7836589538442,292.60882656893466,708.9584913387538,True
Adaptive_β_vol500,Fixed_β=0.2_vol500,1.7032038062412358,0.08856101413716821,0.03406407612482472,189.5881641282217,-28.6070759422569,407.7834041987003,False
Adaptive_β_vol500,Fixed_β=0.4_vol500,2.38794646010589,0.01696126247778751,0.04775892920211781,263.8424168962765,47.2612439513494,480.42358984120364,True
Adaptive_β_vol500,Fixed_β=0.6_vol500,1.4278290982134398,0.15337228895928345,0.028556581964268798,155.86188254969647,-58.11376986280544,369.8375349621984,False
Adaptive_β_vol500,Fixed_β=0.8_vol500,0.3295588510479405,0.7417402229183072,0.00659117702095881,35.350225674812464,-174.91133354527972,245.61178489490464,False
Adaptive_β_vol500,Fixed_β=1.0_vol500,37.16113196193602,0.0,0.7432226392387205,3247.524753215578,3076.222054242446,3418.82745218871,True
