phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,7,ad,0.0,3
pre-drug,0,2,3,0,as2,0.0,3
pre-drug,0,3,3,5,as7,0.0,3
pre-drug,0,4,3,6,ag,0.0,3
pre-drug,0,5,3,4,as6,0.0,3
pre-drug,0,6,3,5,as7,0.0,3
pre-drug,0,7,3,4,as6,0.0,3
pre-drug,0,8,3,5,as7,0.0,3
pre-drug,0,9,3,4,as6,0.0,3
pre-drug,0,10,3,4,as6,0.0,3
pre-drug,0,11,3,6,ag,0.0,3
pre-drug,0,12,3,7,ad,0.0,3
pre-drug,0,13,3,1,as3,0.0,2
pre-drug,0,14,2,4,as6,0.0,2
pre-drug,0,15,2,5,as7,0.0,2
pre-drug,0,16,2,4,as6,0.0,2
pre-drug,0,17,2,6,ag,0.0,2
pre-drug,0,18,2,1,as3,0.0,2
pre-drug,0,19,2,5,as7,0.0,2
pre-drug,0,20,2,5,as7,0.0,2
pre-drug,0,21,2,3,as5,0.0,2
pre-drug,0,22,2,3,as5,0.0,2
pre-drug,0,23,2,0,as2,0.0,1
pre-drug,0,24,1,5,as7,0.0,1
pre-drug,0,25,1,8,aw,0.0,1
pre-drug,0,26,1,8,aw,0.0,1
pre-drug,0,27,1,6,ag,0.0,0
pre-drug,0,28,0,7,ad,0.0,0
pre-drug,0,29,0,3,as5,0.0,0
pre-drug,0,30,0,1,as3,0.0,0
pre-drug,0,31,0,6,ag,1.0,3
pre-drug,0,32,3,7,ad,0.0,3
pre-drug,0,33,3,2,as4,0.0,3
pre-drug,0,34,3,5,as7,0.0,3
pre-drug,0,35,3,8,aw,0.0,3
pre-drug,0,36,3,4,as6,0.0,3
pre-drug,0,37,3,6,ag,0.0,3
pre-drug,0,38,3,0,as2,0.0,3
pre-drug,0,39,3,1,as3,0.0,2
pre-drug,0,40,2,5,as7,0.0,2
pre-drug,0,41,2,0,as2,0.0,1
pre-drug,0,42,1,4,as6,0.0,1
pre-drug,0,43,1,7,ad,0.0,1
pre-drug,0,44,1,4,as6,0.0,1
pre-drug,0,45,1,8,aw,0.0,1
pre-drug,0,46,1,2,as4,0.0,1
pre-drug,0,47,1,4,as6,0.0,1
pre-drug,0,48,1,3,as5,0.0,1
pre-drug,0,49,1,0,as2,0.0,1
pre-drug,0,50,1,5,as7,0.0,1
addiction,1,1,1,1,as3,0.0,2
addiction,1,2,2,3,as5,0.0,2
addiction,1,3,2,6,ag,0.0,2
addiction,1,4,2,8,aw,0.0,2
addiction,1,5,2,3,as5,0.0,2
addiction,1,6,2,3,as5,0.0,2
addiction,1,7,2,8,aw,0.0,2
addiction,1,8,2,1,as3,0.0,2
addiction,1,9,2,0,as2,0.0,1
addiction,1,10,1,7,ad,0.0,1
addiction,1,11,1,1,as3,0.0,2
addiction,1,12,2,7,ad,0.0,2
addiction,1,13,2,5,as7,0.0,2
addiction,1,14,2,5,as7,0.0,2
addiction,1,15,2,5,as7,0.0,2
addiction,1,16,2,6,ag,0.0,2
addiction,1,17,2,5,as7,0.0,2
addiction,1,18,2,4,as6,0.0,2
addiction,1,19,2,2,as4,0.0,2
addiction,1,20,2,0,as2,0.0,1
addiction,1,21,1,0,as2,0.0,1
addiction,1,22,1,3,as5,0.0,1
addiction,1,23,1,4,as6,0.0,1
addiction,1,24,1,1,as3,0.0,2
addiction,1,25,2,4,as6,0.0,2
addiction,1,26,2,4,as6,0.0,2
addiction,1,27,2,4,as6,0.0,2
addiction,1,28,2,0,as2,0.0,1
addiction,1,29,1,8,aw,0.0,1
addiction,1,30,1,2,as4,0.0,1
addiction,1,31,1,6,ag,0.0,0
addiction,1,32,0,6,ag,1.0,3
addiction,1,33,3,3,as5,0.0,4
addiction,1,34,4,6,ag,0.0,4
addiction,1,35,4,1,as3,0.0,4
