phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,0,as2,0.0,3
pre-drug,0,2,3,2,as4,0.0,3
pre-drug,0,3,3,7,ad,0.0,3
pre-drug,0,4,3,6,ag,0.0,3
pre-drug,0,5,3,5,as7,0.0,3
pre-drug,0,6,3,2,as4,0.0,3
pre-drug,0,7,3,6,ag,0.0,3
pre-drug,0,8,3,3,as5,0.0,4
pre-drug,0,9,4,8,aw,0.0,4
pre-drug,0,10,4,8,aw,0.0,4
pre-drug,0,11,4,0,as2,0.0,4
pre-drug,0,12,4,1,as3,0.0,4
pre-drug,0,13,4,8,aw,0.0,4
pre-drug,0,14,4,2,as4,0.0,3
pre-drug,0,15,3,6,ag,0.0,3
pre-drug,0,16,3,0,as2,0.0,3
pre-drug,0,17,3,4,as6,0.0,3
pre-drug,0,18,3,6,ag,0.0,3
pre-drug,0,19,3,5,as7,0.0,3
pre-drug,0,20,3,4,as6,0.0,3
pre-drug,0,21,3,3,as5,0.0,4
pre-drug,0,22,4,5,as7,0.0,4
pre-drug,0,23,4,6,ag,0.0,4
pre-drug,0,24,4,4,as6,0.0,5
pre-drug,0,25,5,4,as6,0.0,5
pre-drug,0,26,5,6,ag,0.0,5
pre-drug,0,27,5,2,as4,0.0,5
pre-drug,0,28,5,7,ad,0.0,5
pre-drug,0,29,5,0,as2,0.0,5
pre-drug,0,30,5,6,ag,0.0,5
pre-drug,0,31,5,4,as6,0.0,5
pre-drug,0,32,5,1,as3,0.0,5
pre-drug,0,33,5,7,ad,0.0,5
pre-drug,0,34,5,7,ad,0.0,5
pre-drug,0,35,5,4,as6,0.0,5
pre-drug,0,36,5,4,as6,0.0,5
pre-drug,0,37,5,4,as6,0.0,5
pre-drug,0,38,5,8,aw,0.0,5
pre-drug,0,39,5,7,ad,0.0,5
pre-drug,0,40,5,5,as7,0.0,6
pre-drug,0,41,6,0,as2,0.0,6
pre-drug,0,42,6,6,ag,0.0,6
pre-drug,0,43,6,4,as6,0.0,5
pre-drug,0,44,5,8,aw,0.0,5
pre-drug,0,45,5,4,as6,0.0,5
pre-drug,0,46,5,0,as2,0.0,5
pre-drug,0,47,5,4,as6,0.0,5
pre-drug,0,48,5,8,aw,0.0,5
pre-drug,0,49,5,2,as4,0.0,5
