phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,4,as6,0.0,3
pre-drug,0,2,3,3,as5,0.0,4
pre-drug,0,3,4,3,as5,0.0,4
pre-drug,0,4,4,6,ag,0.0,4
pre-drug,0,5,4,4,as6,0.0,5
pre-drug,0,6,5,1,as3,0.0,5
pre-drug,0,7,5,5,as7,0.0,6
pre-drug,0,8,6,7,ad,0.0,7
pre-drug,0,9,7,4,as6,-0.3,7
pre-drug,0,10,7,7,ad,-0.3,8
pre-drug,0,11,8,5,as7,-0.3,8
pre-drug,0,12,8,3,as5,-0.3,8
pre-drug,0,13,8,1,as3,-0.3,8
pre-drug,0,14,8,0,as2,-0.3,8
pre-drug,0,15,8,8,aw,-0.3,9
pre-drug,0,16,9,7,ad,-0.3,8
pre-drug,0,17,8,7,ad,-0.3,9
pre-drug,0,18,9,8,aw,-0.3,8
pre-drug,0,19,8,4,as6,-0.3,8
pre-drug,0,20,8,6,ag,-0.3,8
pre-drug,0,21,8,2,as4,-0.3,8
pre-drug,0,22,8,8,aw,0.0,7
pre-drug,0,23,7,0,as2,-0.3,7
pre-drug,0,24,7,3,as5,-0.3,7
pre-drug,0,25,7,2,as4,-0.3,7
pre-drug,0,26,7,1,as3,-0.3,7
pre-drug,0,27,7,6,ag,-0.3,7
pre-drug,0,28,7,5,as7,-0.3,7
pre-drug,0,29,7,8,aw,-0.3,21
pre-drug,0,30,21,5,as7,-0.3,21
pre-drug,0,31,21,3,as5,-0.3,21
pre-drug,0,32,21,8,aw,-0.3,20
pre-drug,0,33,20,3,as5,-0.3,20
pre-drug,0,34,20,5,as7,-0.3,20
pre-drug,0,35,20,2,as4,-0.3,20
pre-drug,0,36,20,8,aw,-0.3,19
pre-drug,0,37,19,0,as2,-0.3,19
pre-drug,0,38,19,4,as6,-0.3,19
pre-drug,0,39,19,5,as7,-0.3,19
pre-drug,0,40,19,8,aw,-0.3,20
pre-drug,0,41,20,7,ad,-0.3,19
pre-drug,0,42,19,6,ag,-0.3,19
pre-drug,0,43,19,3,as5,-0.3,19
pre-drug,0,44,19,1,as3,-0.3,19
pre-drug,0,45,19,7,ad,-0.3,20
pre-drug,0,46,20,4,as6,-0.3,20
pre-drug,0,47,20,1,as3,-0.3,20
pre-drug,0,48,20,0,as2,-0.3,20
pre-drug,0,49,20,6,ag,-0.3,20
pre-drug,0,50,20,7,ad,-0.3,21
addiction,1,1,21,7,ad,0.0,7
addiction,1,2,7,2,as4,-1.2,7
addiction,1,3,7,8,aw,-1.2,8
addiction,1,4,8,8,aw,0.0,7
addiction,1,5,7,7,ad,-1.2,8
addiction,1,6,8,7,ad,-1.2,9
addiction,1,7,9,1,as3,-1.2,9
addiction,1,8,9,2,as4,-1.2,9
addiction,1,9,9,3,as5,-1.2,9
addiction,1,10,9,4,as6,-1.2,9
addiction,1,11,9,0,as2,-1.2,9
addiction,1,12,9,6,ag,-1.2,9
addiction,1,13,9,5,as7,-1.2,9
addiction,1,14,9,7,ad,-1.2,10
addiction,1,15,10,2,as4,-1.2,10
addiction,1,16,10,0,as2,-1.2,10
addiction,1,17,10,1,as3,-1.2,10
addiction,1,18,10,8,aw,-1.2,9
addiction,1,19,9,8,aw,-1.2,8
addiction,1,20,8,8,aw,-1.2,9
addiction,1,21,9,7,ad,-1.2,10
addiction,1,22,10,6,ag,-1.2,10
addiction,1,23,10,2,as4,-1.2,10
addiction,1,24,10,5,as7,-1.2,10
addiction,1,25,10,4,as6,-1.2,10
addiction,1,26,10,7,ad,-1.2,11
addiction,1,27,11,6,ag,-1.2,11
