phase_name,phase_idx,step,state,action,action_name,reward,next_state
addiction,1,273,9,8,aw,-1.2,8
addiction,1,274,8,3,as5,-1.2,8
addiction,1,275,8,5,as7,-1.2,8
addiction,1,276,8,1,as3,-1.2,8
addiction,1,277,8,6,ag,-1.2,8
addiction,1,278,8,6,ag,-1.2,8
addiction,1,279,8,2,as4,-1.2,8
addiction,1,280,8,8,aw,-1.2,9
addiction,1,281,9,7,ad,-1.2,10
addiction,1,282,10,8,aw,-1.2,9
addiction,1,283,9,2,as4,-1.2,9
addiction,1,284,9,8,aw,-1.2,8
addiction,1,285,8,8,aw,-1.2,9
addiction,1,286,9,7,ad,-1.2,10
addiction,1,287,10,8,aw,-1.2,11
addiction,1,288,11,8,aw,-1.2,12
addiction,1,289,12,0,as2,-1.2,12
addiction,1,290,12,6,ag,-1.2,12
addiction,1,291,12,3,as5,-1.2,12
addiction,1,292,12,4,as6,-1.2,12
addiction,1,293,12,5,as7,-1.2,12
addiction,1,294,12,7,ad,-1.2,13
addiction,1,295,13,6,ag,-1.2,13
addiction,1,296,13,4,as6,-1.2,13
addiction,1,297,13,0,as2,-1.2,13
addiction,1,298,13,5,as7,-1.2,13
addiction,1,299,13,8,aw,-1.2,12
addiction,1,300,12,7,ad,-1.2,13
addiction,1,301,13,2,as4,-1.2,13
addiction,1,302,13,1,as3,-1.2,13
addiction,1,303,13,4,as6,-1.2,13
addiction,1,304,13,7,ad,-1.2,12
addiction,1,305,12,4,as6,-1.2,12
addiction,1,306,12,7,ad,-1.2,13
addiction,1,307,13,7,ad,-1.2,14
addiction,1,308,14,8,aw,-1.2,14
addiction,1,309,14,3,as5,-1.2,14
addiction,1,310,14,7,ad,-1.2,15
addiction,1,311,15,0,as2,-1.2,15
addiction,1,312,15,6,ag,-1.2,15
addiction,1,313,15,5,as7,-1.2,15
addiction,1,314,15,2,as4,-1.2,15
addiction,1,315,15,0,as2,-1.2,15
addiction,1,316,15,4,as6,-1.2,15
addiction,1,317,15,8,aw,-1.2,14
addiction,1,318,14,5,as7,-1.2,14
addiction,1,319,14,2,as4,-1.2,14
addiction,1,320,14,4,as6,-1.2,14
addiction,1,321,14,6,ag,-1.2,14
addiction,1,322,14,1,as3,-1.2,14
addiction,1,323,14,1,as3,-1.2,14
addiction,1,324,14,0,as2,-1.2,14
addiction,1,325,14,3,as5,-1.2,14
addiction,1,326,14,3,as5,-1.2,14
addiction,1,327,14,7,ad,-1.2,15
addiction,1,328,15,1,as3,-1.2,15
addiction,1,329,15,3,as5,-1.2,15
addiction,1,330,15,3,as5,-1.2,15
addiction,1,331,15,8,aw,-1.2,16
addiction,1,332,16,8,aw,-1.2,15
addiction,1,333,15,1,as3,-1.2,15
addiction,1,334,15,8,aw,-1.2,14
addiction,1,335,14,7,ad,-1.2,13
addiction,1,336,13,1,as3,-1.2,13
addiction,1,337,13,6,ag,-1.2,13
addiction,1,338,13,4,as6,-1.2,13
addiction,1,339,13,8,aw,-1.2,14
addiction,1,340,14,5,as7,-1.2,14
addiction,1,341,14,0,as2,-1.2,14
addiction,1,342,14,3,as5,-1.2,14
addiction,1,343,14,4,as6,-1.2,14
addiction,1,344,14,7,ad,-1.2,15
addiction,1,345,15,7,ad,-1.2,16
addiction,1,346,16,1,as3,-1.2,16
addiction,1,347,16,6,ag,-1.2,16
addiction,1,348,16,5,as7,-1.2,16
addiction,1,349,16,2,as4,-1.2,16
addiction,1,350,16,4,as6,-1.2,16
addiction,1,351,16,0,as2,-1.2,16
addiction,1,352,16,2,as4,-1.2,16
addiction,1,353,16,7,ad,-1.2,17
addiction,1,354,17,5,as7,-1.2,17
